n,team,state,team_full,season,Wins,Losses,win_lose_ratio,Net Wins,ORtg,DRtg,netrtg,Rel ORtg,Rel DRtg,location,team_type,team_logo
196,MIA,florida,Miami Heat,2015,37,45,0.82,-8,103.9,106.7,-2.8,-1.7,1.1,E,D,logos/Miami Heat.jpg
226,MIA,florida,Miami Heat,2014,54,28,1.93,26,110.9,105.8,5.1,4.2,-0.9,E,O,logos/Miami Heat.jpg
256,MIA,florida,Miami Heat,2013,66,16,4.13,50,112.3,103.7,8.6,6.4,-2.2,E,O,logos/Miami Heat.jpg
286,MIA,florida,Miami Heat,2012,31,35,0.89,-4,106.6,100.2,6.4,2,-4.4,E,D,logos/Miami Heat.jpg
316,MIA,florida,Miami Heat,2011,35,47,0.74,-12,111.7,103.5,8.2,4.1,-3.8,E,O,logos/Miami Heat.jpg
15,MEM,tennessee,Memphis Grizzlies,2021,38,34,1.12,4,112,111,1,-0.3,-1.3,W,S,logos/Memphis Grizzlies.jpg
45,MEM,tennessee,Memphis Grizzlies,2020,34,39,0.87,-5,109.2,110.3,-1.1,-1.4,-0.3,W,S,logos/Memphis Grizzlies.jpg
75,MEM,tennessee,Memphis Grizzlies,2019,33,49,0.67,-16,106.1,108.8,-2.7,-4.3,-1.6,W,D,logos/Memphis Grizzlies.jpg
105,MEM,tennessee,Memphis Grizzlies,2018,22,60,0.37,-38,104.5,111,-6.5,-4.1,2.4,W,D,logos/Memphis Grizzlies.jpg
135,MEM,tennessee,Memphis Grizzlies,2017,43,39,1.1,4,107.7,107.1,0.6,-1.1,-1.7,W,S,logos/Memphis Grizzlies.jpg
165,MEM,tennessee,Memphis Grizzlies,2016,42,40,1.05,2,105.4,107.8,-2.4,-1,1.4,W,S,logos/Memphis Grizzlies.jpg
195,MEM,tennessee,Memphis Grizzlies,2015,55,27,2.04,28,105.7,102.2,3.5,0.1,-3.4,W,O,logos/Memphis Grizzlies.jpg
225,MEM,tennessee,Memphis Grizzlies,2014,50,32,1.56,18,106.3,104.6,1.7,-0.4,-2.1,W,S,logos/Memphis Grizzlies.jpg
255,MEM,tennessee,Memphis Grizzlies,2013,56,26,2.15,30,104.9,100.3,4.6,-1,-5.6,W,O,logos/Memphis Grizzlies.jpg
285,MEM,tennessee,Memphis Grizzlies,2012,46,20,2.3,26,104,101.8,2.2,-0.6,-2.8,W,D,logos/Memphis Grizzlies.jpg
315,MEM,tennessee,Memphis Grizzlies,2011,58,24,2.42,34,107.6,105.1,2.5,0,-2.2,W,O,logos/Memphis Grizzlies.jpg
14,LAL,california,Los Angeles Lakers,2021,42,30,1.4,12,109.9,107.1,2.8,-2.4,-5.2,W,O,logos/Los Angeles Lakers.jpg
44,LAL,california,Los Angeles Lakers,2020,52,19,2.74,33,112,106.3,5.7,1.4,-4.3,W,O,logos/Los Angeles Lakers.jpg
74,LAL,california,Los Angeles Lakers,2019,37,45,0.82,-8,107.8,109.5,-1.7,-2.6,-0.9,W,D,logos/Los Angeles Lakers.jpg
104,LAL,california,Los Angeles Lakers,2018,35,47,0.74,-12,106.5,108,-1.5,-2.1,-0.6,W,D,logos/Los Angeles Lakers.jpg
